Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SHY,iShares 1-3 Year Treasury Bond ETF,83.73,19115559000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/shy
TLT,iShares 20+ Year Treasury Bond ETF,121.57,11366795000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/tlt
IEI,iShares 3-7 Year Treasury Bond ETF,121.88,7361552000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iei
IEF,iShares 7-10 Year Treasury Bond ETF,104.74,13406720000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ief
AIA,iShares Asia 50 ETF,59.34,1047351000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aia
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,54.19,2666148000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/usig
COMT,iShares Commodities Select Strategy ETF,32.47,379899000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/comt
ISTB,iShares Core 1-5 Year USD Bond ETF,49.49,2355724000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/istb
IXUS,iShares Core MSCI Total International Stock ETF,56.72,13357560000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ixus
IUSG,iShares Core S&P U.S. Growth ETF,58.15,5655087500,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iusg
IUSV,iShares Core S&P U.S. Value ETF,53.74,5016629000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iusv
IUSB,iShares Core Total USD Bond Market ETF,49.875,2922675000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iusb
HEWG,iShares Currency Hedged MSCI Germany ETF,25.85,191290000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hewg
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,24.7617,76761270,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/susb
ESGD,iShares ESG MSCI EAFE ETF,61.77,642408000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/esgd
ESGE,iShares ESG MSCI EM ETF,33.11,499961000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/esge
ESGU,iShares ESG MSCI USA ETF,60.2366,159626990,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/esgu
SUSC,iShares ESG USD Corporate Bond ETF,24.5,23275000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/susc
XT,iShares Exponential Technologies ETF,36.627,2300175600,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/xt
FALN,iShares Fallen Angels USD Bond ETF,25.92,64800000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/faln
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,37.3,29840000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ifeu
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,29.44,506368000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ifgl
BGRN,iShares Global Green Bond ETF,51.94,25970000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bgrn
IGF,iShares Global Infrastructure ETF,43.77,2740002000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/igf
GNMA,iShares GNMA Bond ETF,48.9822,112659060,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/gnma
HYXE,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,50.22,10044000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hyxe
